kanji,count
楚,2
坑,2
鴉,2
迭,2
嶺,2
劫,2
杓,2
巴,2
涜,2
牝,2
靡,2
惡,2
凌,2
爛,2
綽,2
辣,2
劾,2
徘,2
徊,2
齧,2
櫛,2
厘,2
峻,2
屑,2
悦,2
紆,2
贄,2
租,2
脊,2
殉,2
楓,2
升,2
賺,1
儒,1
餉,1
闊,1
疔,1
杞,1
倅,1
舵,1
吞,1
慄,1
盪,1
咥,1
箔,1
贖,1
壽,1
跆,1
柚,1
礬,1
晃,1
蠍,1
脛,1
從,1
僞,1
矍,1
鑠,1
纂,1
涵,1
鶇,1
證,1
凋,1
翠,1
膾,1
捲,1
靄,1
饒,1
巓,1
彅,1
佩,1
瑪,1
瑙,1
燗,1
托,1
詈,1
黴,1
猜,1
溯,1
肱,1
靨,1
跏,1
趺,1
膵,1
宏,1
炬,1
燵,1
吏,1
忿,1
濶,1
謂,1
夥,1
閂,1
駟,1
麝,1
惣,1
做,1
儘,1
牌,1
髯,1
褌,1
蝸,1
囃,1
閏,1
鹼,1
嚇,1
荀,1
棺,1
籃,1
庵,1
魘,1
灼,1
婉,1
繻,1
縋,1
怜,1
悧,1
溲,1
杳,1
曳,1
舛,1
撰,1
霍,1
撩,1
楷,1
麵,1
撼,1
悸,1
抄,1
嶋,1
叢,1
拵,1
鷗,1
僭,1
楔,1
屏,1
鯖,1
拇,1
呻,1
赧,1
鬆,1
蹄,1
斯,1
菫,1
坡,1
縷,1
瞰,1
荻,1
巫,1
蜥,1
蜴,1
楢,1
弋,1
辰,1
靜,1
凉,1
蝕,1
樽,1
蚤,1
襷,1
襤,1
褸,1
饑,1
斡,1
鯵,1
鑽,1
衾,1
縹,1
瓢,1
魏,1
彷,1
徨,1
窄,1
茅,1
葺,1
棕,1
櫚,1
灌,1
漑,1
瘦,1
椿,1
碧,1
茉,1
蜻,1
蛉,1
李,1
賎,1
巷,1
泪,1
儂,1
嘗,1
肴,1
蓼,1
匍,1
匐,1
澹,1
鉦,1
拮,1
梃,1
斥,1
兜,1
廻,1
眦,1
腿,1
蛎,1
鬚,1
鑿,1
亥,1
蠱,1
狢,1
寅,1
揶,1
揄,1
恍,1
憮,1
篭,1
腔,1
頒,1
嵯,1
峨,1
